address,cname,com_type,com_url,description,industry,info,is_collect,logo,mina_url,name,pranum,reg_capi,reg_name,reg_num,scale,start_time,tags,types,url,vote_url,wurl
北京,北京小桔科技有限公司,有限责任公司(自然人投资或控股),http://www.qichacha.com/firm_SH_4659626b1e5e43f1bcad8c268753216e.shtml,全球领先的移动出行平台,互联网,<span>滴滴出行，滴滴打车升级为滴滴出行。每天为全国超过1亿的用户提供便捷召车服务 。旗下业务包含面向中高端用户群体的滴滴专车，面向大众群体出行的滴滴快车，绿色节能环保的拼车业务滴滴顺风车，给企业带来实惠与方便的滴滴企业用车，为车主群体提供代驾服务的滴滴代驾。</span>,0,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,pages/gsDetail/gsDetail?cuuid=com_sppzggg6k3bg,滴滴出行,0,1000万元人民币,注册号,110108015068911,500-2000人,2012-07-10,"[""\u6210\u957f\u7a7a\u95f4\u5927"", ""\u798f\u5229\u5f85\u9047\u597d"", ""\u56e2\u961f\u6c1b\u56f4\u597d"", ""\u6709\u6311\u6218\u6027\u7684\u9879\u76ee""]","[{""job"": ""UI/UE""}, {""job"": ""Java""}, {""job"": ""\u4e91\u8ba1\u7b97/\u5927\u6570\u636e""}, {""job"": ""\u7b97\u6cd5""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""Python""}, {""job"": ""Node.js""}, {""job"": ""\u524d\u7aef""}, {""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_sppzggg6k3bg,,www.xiaojukeji.com
北京,北京小桔科技有限公司,有限责任公司(自然人投资或控股),http://www.qichacha.com/firm_SH_4659626b1e5e43f1bcad8c268753216e.shtml,全球领先的移动出行平台,互联网,<span>滴滴出行，滴滴打车升级为滴滴出行。每天为全国超过1亿的用户提供便捷召车服务 。旗下业务包含面向中高端用户群体的滴滴专车，面向大众群体出行的滴滴快车，绿色节能环保的拼车业务滴滴顺风车，给企业带来实惠与方便的滴滴企业用车，为车主群体提供代驾服务的滴滴代驾。</span>,0,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,pages/gsDetail/gsDetail?cuuid=com_sppzggg6k3bg,滴滴出行,0,1000万元人民币,注册号,110108015068911,500-2000人,2012-07-10,"[""\u6210\u957f\u7a7a\u95f4\u5927"", ""\u798f\u5229\u5f85\u9047\u597d"", ""\u56e2\u961f\u6c1b\u56f4\u597d"", ""\u6709\u6311\u6218\u6027\u7684\u9879\u76ee""]","[{""job"": ""UI/UE""}, {""job"": ""Java""}, {""job"": ""\u4e91\u8ba1\u7b97/\u5927\u6570\u636e""}, {""job"": ""\u7b97\u6cd5""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""Python""}, {""job"": ""Node.js""}, {""job"": ""\u524d\u7aef""}, {""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_sppzggg6k3bg,,www.xiaojukeji.com
杭州,杭州玳数科技有限公司,有限责任公司(自然人投资或控股),http://www.qichacha.com/firm_SH_aab1a6f9a1078811743a605f0de36d6a.shtml,专注于为企业客户提供专业的数据智能服务,计算机/互联网,<span>袋鼠云，由多名中国数据智能领域资深专家创立，拥有深厚技术背景和十余年技术实践经验沉淀。做为阿里云的战略合作伙伴，为企业客户提供专业的数据智能服务。2016年初成立时就获得1000万天使融资，2016年6月获得3000万的Pre-A轮，2017年7月获得6000万A轮融资，一年半以来累计融资过亿。我们相信在大数据时代，数据智能将是未来智能商业的核心竞争力。袋鼠云在新零售、新金融、智慧人社、智能制造等行业的专业服务获得了包括茅台、贵州交警、京东方、天弘基金、轻松筹、安吉社保、海盐社保等众多知名客户的认可。欢迎各路英才加入我们，一起玩数据智能技术，一起服务全球企业客户，一起实现梦想。</span>,0,https://sxsimg.xiaoyuanzhao.com/9F/92/9F3506D5BD6345271052AD1E81FE8B92.jpg,pages/gsDetail/gsDetail?cuuid=com_fukhzb5dsxrg,袋鼠云,4,2000万人民币,注册号,330106000457468,50-150人,2015-11-20,"[""\u56e2\u961f\u5145\u6ee1\u6d3b\u529b"", ""\u9760\u8c31\u521b\u4e1a\u56e2\u961f"", ""\u7528\u5fc3\u5b66\u5230\u5f88\u591a""]","[{""job"": ""IT\u4e92\u8054\u7f51""}, {""job"": ""\u4e91\u8ba1\u7b97/\u5927\u6570\u636e""}, {""job"": ""\u524d\u7aef""}, {""job"": ""\u6d4b\u8bd5""}]",https://www.shixiseng.com/com/com_fukhzb5dsxrg,,http://www.dtstack.com/
北京,上海脉络市场营销策划有限公司,有限责任公司（自然人独资）,http://www.qichacha.com/firm_SH_7035f599afb38838849401bf18c1e365.shtml,以大数据为出发点，基于深度分析，为跨国药企提供独家的医生层面精准化营销支持,"计算机/互联网,医药",公司于2016年创立，已经有多个全球顶级跨国药企作为客户，交付项目得到了一致好评。并且作为独家供应商进入了全球顶级药企的全球供应商名单。已经形成稳定现金流。公司以医生个体和群体的精准分析为入手点，为药械企业提供深度分析，支持个体层面的精准营销。公司主要成员均来自顶尖咨询公司或药企，有深厚行业背景和经验。公司技术方面有广泛的对外合作，可以接触到学界和业界的大牛指导。氛围轻松，时间灵活，虽然是创业公司，并不提倡996，不鼓励大量加班，鼓励应用新技术，新思路提升效率。,0,https://sxsimg.xiaoyuanzhao.com/4B/31/4BB261FB3C44058BD42AE103E1206931.png,pages/gsDetail/gsDetail?cuuid=com_9hjets1s9zz2,脉络大数据-MeDomino,0,100万人民币,统一社会信用代码,91310112MA1GB52344,少于15人,2016-01-27,"[""\u56fd\u9645\u80cc\u666f"", ""\u63d0\u5021\u521b\u65b0"", ""\u524d\u666f\u597d"", ""\u652f\u6301\u8fdc\u7a0b\u529e\u516c""]","[{""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_9hjets1s9zz2,,www.medomino.com
北京,北京快快网络技术有限公司,其他有限责任公司,http://www.qichacha.com/firm_SH_c8ad670404dc97a557882bc3ae6826cd.shtml,真融宝提供面向中产阶级大众投资者的互联网理财产品服务,互联网金融,"<p>
真融宝的创始团队由金融领域资深投资人士及原百度公司产品技术人员组成。其中金融团队拥有近20年的北美和国内的大型投资经验及风险管理经验，产品技术团队则拥有百度多条产品线的设计及开发经验。 </p><p>真融宝在互联网金融领域是一家迅速上升的明星企业，得到了资本市场的极大认可，成立将近两年时间，真融宝完成了数亿元的融资，投资者当中不乏红杉、经纬这样的知名基金。
真融宝希望通过一系列安全、简单和多样化的理财服务，来为大众投资者提供更好的生活品质。 真融宝不仅是理财服务，更是一种生活态度。 </p><p> 真融宝（北京快快）的高速发展之路 </p><p>2014年8月10日产品上线，获得知名天使李一男天使投资
2014年10月，获安芙兰千万级人民币pre-A轮风险投资 </p><p>2014年11月27日，认定为中关村高新技术企业； </p><p>2015年2月，获经纬中国一千万美金A轮风险投资；</p><p>2015年4月，真融宝总部入驻中关村互联网金融中心； </p><p>2015年5月，“快投”系列产品上线； </p><p>2015年6月，累计投资额突破10亿元，用户数量超过10万； </p><p>2015年8月，累计投资额超过25亿元，用户数量超过40万 </p><p>2015年10月，获得红杉资本、经纬的近亿元人民币的B轮投资</p>",0,https://sxsimg.xiaoyuanzhao.com/47/3B/471CABD57CCFA531A4665FC04B51DC3B.png,pages/gsDetail/gsDetail?cuuid=com_siov6m2fwdke,真融宝,7,7889.2016万元人民币,注册号,110108017540468,150-500人,2014-07-10,[],"[{""job"": ""\u98ce\u63a7""}, {""job"": ""\u4eba\u529b\u8d44\u6e90""}, {""job"": ""Android""}, {""job"": ""\u91d1\u878d""}, {""job"": ""\u6295\u8d44""}, {""job"": ""Java""}, {""job"": ""PHP""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""\u4ea7\u54c1\u52a9\u7406""}, {""job"": ""\u7528\u6237\u7814\u7a76""}, {""job"": ""\u6570\u636e\u5e93""}, {""job"": ""iOS""}, {""job"": ""\u4ea7\u54c1\u8fd0\u8425""}, {""job"": ""\u524d\u7aef""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u6d4b\u8bd5""}]",https://www.shixiseng.com/com/com_siov6m2fwdke,,www.zhenrongbao.com
上海,深圳壹账通智能科技有限公司,有限责任公司,http://www.qichacha.com/firm_SH_6d3caac397f87dc8562a41c288a53a5a.shtml,平安集团旗下的金融科技服务公司,计算机/互联网,"<span style=""color:#333333;font-size:14px;line-height:24px;background-color:#ffffff;"">金融壹账通是平安集团旗下的金融科技服务公司，平安孵化的四家“独角兽”企业之一</span><span style=""color:#333333;font-size:14px;line-height:24px;background-color:#ffffff;"">，并在《2017中国独角兽企业发展报告》中位列第13名</span><span style=""color:#333333;font-size:14px;line-height:24px;background-color:#ffffff;"">&nbsp;。作为金融科技服务云平台，基于人工智能、区块链、云平台及生物识别等科技技术，为中小金融机构提供科技驱动的业务解决方案。目前公司拥有智能银行云、智能保险云、智能投资云和开放平台四大产品系列。</span><span style=""color:#333333;font-size:14px;line-height:24px;background-color:#ffffff;"">&nbsp;截至2018年6月末，金融壹账通已为441家银行、38家保险公司、近2200家非银金融机构提供一站式金融科技解决方案。</span><span style=""color:#333333;font-size:14px;line-height:24px;background-color:#ffffff;"">一季度金融机构风控查询量超1.8亿人次。</span><span style=""color:#333333;font-size:14px;line-height:24px;background-color:#ffffff;"">金融壹账通独特的战略定位和商业模式也获得了海内外投资者的认可，公司已于2018年初顺利完成A轮融资，投后估值75亿美金。</span>",0,https://sxsimg.xiaoyuanzhao.com/AC/52/AC96636F8615F8D5F6F6B93A5D0F5E52.jpg,pages/gsDetail/gsDetail?cuuid=com_pobdzlrxvdpb,壹账通,0,120000万人民币,注册号,440300202410371,2000人以上,2017-09-15,"[""\u5927\u6570\u636e"", ""AI"", ""\u667a\u80fd\u98ce\u63a7""]","[{""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_pobdzlrxvdpb,,http://open.jryzt.com/
上海,百胜咨询（上海）有限公司,有限责任公司(外国法人独资),http://www.qichacha.com/firm_SH_2044704a13ca9d2b58f0847ff7964e29.shtml,中国最大的餐饮上市公司,餐饮,百胜中国是中国最大的餐饮上市公司（纽交所交易代号：YUMC），旗下包括肯德基、必胜客、必胜宅急送、小肥羊、东方既白等品牌。百胜在中国有着7000多家门店,0,https://sxsimg.xiaoyuanzhao.com/BC/28/BC9E52C4D3CF4C7266746E2156A1B028.png,pages/gsDetail/gsDetail?cuuid=com_eat7w48qdsgd,百胜中国,2,500万美元,注册号,310115400048737,2000人以上,1997-09-25,[],"[{""job"": ""\u7b97\u6cd5""}, {""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_eat7w48qdsgd,,www.yumchina.com
南京,南京浦和智能科技有限公司,"有限责任公司
",http://www.qichacha.com/firm_SH_9713d4cd1123f196b728537c1b4db491.shtml,一家提供互联网SAAS服务的初创公司,计算机/互联网,"<p>	<strong>OriginalTek&nbsp;公司简介：</strong> </p><p>	&nbsp; &nbsp; 南京浦和数据有限公司（OriginalTek）是2014年度“南京海外高端人才引进计划”（原“321”计划）引进的高科技企业，公司主营业务是数据智能、边缘智能领域的产品研发与预研、解决方案与服务的实施。公司创始人包括人工智能领域领军华人科学家、拥有多年海外工作经验的经理人等。</p><p>	&nbsp; &nbsp; OriginalTek&nbsp;认为：“数据驱动精益运营”是全行业的趋势，成就这个趋势的关键是整合“数据资源”、“业务场景”、“数据系统”、“专业人才”，而&nbsp;OriginalTek&nbsp;的“认知智能”就是：用客户的数据解决客户的问题。在OriginalTeK，所有的团队成员有着一个共同的称呼——“OTer”,&nbsp;我们憧憬并享受着纯粹的技术乐趣，并始终相信唯有科技可以改变世界。在这里，每一位&nbsp;OTer&nbsp;都在践行梦想，都在挑战未知，都在努力做“创智英雄”。&nbsp;</p><p>	<strong>&nbsp;我们的产品与解决方案：</strong> </p><p>	&nbsp; &nbsp; 在交通行业：BotGo&nbsp;是一款用认知智能解决交通领域客户真实业务场景的产品，包括交通综合态势服务平台，可视化交互展示平台、交通综合报告服务平台、大数据运维平台等八个服务平台和交通安全生产研判分析、交通动态视频研判分析主题、警务研判分析等若干主题组成，是交通领域最具创新的产品之一。现已成功服务安徽、广东、山东、江西、甘肃等多个省市，对接高德地图、百度地图、腾讯地图等诸多互联网出行服务商，成为了“互联网+交通”的“+”。</p><p>	&nbsp; &nbsp; 在电力行业： 我们用认知智能帮助国家电网、南方电网解决 业务非凡挑战，包括：计量资产账卡物一致、营配数据一致、计量资产状态跟踪、供应商评价等。OriginalTek&nbsp;的认知智能解决方案已经在山东、河南、天津、北京、海南、广东电网应用。&nbsp; &nbsp;</p><p>	&nbsp; &nbsp; 在认知智能实践过程中，公司逐步沉淀出了行业大数据平台——BotLore。BotLore&nbsp;集成了数据摄取、数据治理、数据分析，构建了全业务型和大数据分析型业务的一体化平台，真正实现了“大数据、微应用”。&nbsp;</p><p>	<strong>&nbsp;&nbsp;</strong></p>",0,https://sxsimg.xiaoyuanzhao.com/86/E8/86DBEE672F10C03551926FAEE0294AE8.png,pages/gsDetail/gsDetail?cuuid=com_jj9xjqjuwcj7,浦和数据,0,100万元,统一社会信用代码,91320192MA1MPCK48E,15-50人,2016-07-06,"[""\u8d34\u5fc3\u5bfc\u5e08"", ""\u96f6\u98df\u4f9b\u5e94"", ""\u4eba\u624d\u843d\u6237"", ""\u5927\u5bb6\u5ead\u6c1b\u56f4"", ""\u5b9e\u4e60\u751f\u5f85\u9047\u597d"", ""\u540c\u4e8b\u5e74\u8f7b\u53cb\u597d"", ""\u996e\u6599\u4e0d\u9650\u91cf"", ""\u8f7b\u677e\u548c\u8c10"", ""\u5458\u5de5\u6d3b\u52a8\u591a""]","[{""job"": ""\u8f6f\u4ef6""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u524d\u7aef""}]",https://www.shixiseng.com/com/com_jj9xjqjuwcj7,,www.originaltek.com
上海,快钱支付清算信息有限公司,有限责任公司,http://www.qichacha.com/firm_SH_54f58f297c43037200ccf8601cf92541.shtml,中国领先的互联网金融平台,"计算机/互联网,金融",快钱公司是中国领先的互联网金融平台，基于十年在电子支付领域的积累，快钱充分整合数据信息，结合各类应用场景，为消费者和企业提供丰富的支付工具、稳健的投资理财、便捷的融资信贷以及丰富的应用，使客户能够随时随地畅享便利、智慧的互联网金融服务。　　2004年成立至今，快钱已覆盖逾4.3亿个人用户，以及500余万商业合作伙伴，对接的金融机构超过100家。公司总部位于上海，在北京、广州、深圳等40多地设有分公司，并在南京设立了全国首家创新型金融服务研发中心。2014年，快钱与万达集团达成战略控股合作，共同打造以实体产业为依托的互联网金融平台。,0,https://sxsimg.xiaoyuanzhao.com/6A/1B/6ADFAB478424EDF0C33000FB8655901B.jpg,pages/gsDetail/gsDetail?cuuid=com_rjxbwrip0my3,快钱公司,6,20000万人民币,注册号,310115000831850,500-2000人,2004-04-29,"[""\u5feb\u901f\u53d1\u5c55"", ""\u7532\u7ea7\u5199\u5b57\u697c"", ""\u5f85\u9047\u597d"", ""\u65e9\u4e5d\u665a\u516d"", ""\u516c\u53f8\u73af\u5883\u597d"", ""\u5b66\u5230\u4e1c\u897f"", ""\u4e09\u9910\u514d\u8d39""]","[{""job"": ""\u8d22\u52a1""}, {""job"": ""Java""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u6d4b\u8bd5""}, {""job"": ""\u9500\u552e""}, {""job"": ""\u4ea7\u54c1\u52a9\u7406""}]",https://www.shixiseng.com/com/com_rjxbwrip0my3,,www.99bill.com
北京,北京快快网络技术有限公司,其他有限责任公司,http://www.qichacha.com/firm_SH_c8ad670404dc97a557882bc3ae6826cd.shtml,真融宝提供面向中产阶级大众投资者的互联网理财产品服务,互联网金融,"<p>
真融宝的创始团队由金融领域资深投资人士及原百度公司产品技术人员组成。其中金融团队拥有近20年的北美和国内的大型投资经验及风险管理经验，产品技术团队则拥有百度多条产品线的设计及开发经验。 </p><p>真融宝在互联网金融领域是一家迅速上升的明星企业，得到了资本市场的极大认可，成立将近两年时间，真融宝完成了数亿元的融资，投资者当中不乏红杉、经纬这样的知名基金。
真融宝希望通过一系列安全、简单和多样化的理财服务，来为大众投资者提供更好的生活品质。 真融宝不仅是理财服务，更是一种生活态度。 </p><p> 真融宝（北京快快）的高速发展之路 </p><p>2014年8月10日产品上线，获得知名天使李一男天使投资
2014年10月，获安芙兰千万级人民币pre-A轮风险投资 </p><p>2014年11月27日，认定为中关村高新技术企业； </p><p>2015年2月，获经纬中国一千万美金A轮风险投资；</p><p>2015年4月，真融宝总部入驻中关村互联网金融中心； </p><p>2015年5月，“快投”系列产品上线； </p><p>2015年6月，累计投资额突破10亿元，用户数量超过10万； </p><p>2015年8月，累计投资额超过25亿元，用户数量超过40万 </p><p>2015年10月，获得红杉资本、经纬的近亿元人民币的B轮投资</p>",0,https://sxsimg.xiaoyuanzhao.com/47/3B/471CABD57CCFA531A4665FC04B51DC3B.png,pages/gsDetail/gsDetail?cuuid=com_siov6m2fwdke,真融宝,7,7889.2016万元人民币,注册号,110108017540468,150-500人,2014-07-10,[],"[{""job"": ""\u98ce\u63a7""}, {""job"": ""\u4eba\u529b\u8d44\u6e90""}, {""job"": ""Android""}, {""job"": ""\u91d1\u878d""}, {""job"": ""\u6295\u8d44""}, {""job"": ""Java""}, {""job"": ""PHP""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""\u4ea7\u54c1\u52a9\u7406""}, {""job"": ""\u7528\u6237\u7814\u7a76""}, {""job"": ""\u6570\u636e\u5e93""}, {""job"": ""iOS""}, {""job"": ""\u4ea7\u54c1\u8fd0\u8425""}, {""job"": ""\u524d\u7aef""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u6d4b\u8bd5""}]",https://www.shixiseng.com/com/com_siov6m2fwdke,,www.zhenrongbao.com
