address,attraction,chance,city,cname,collected,cuuid,day,degree,delivered,endtime,ftype,iname,industry,info,invited,logo,maxsal,mina_url,minsal,month,overdue,refresh,reslan,scale,url
北京,表现优秀可转正；公司核心项目有挑战性；团队氛围好；待遇好,可转正,北京,滴滴出行,0,com_sppzggg6k3bg,4,本科,0,2018-11-03,1,算法工程师,互联网,"<div><br></div><div><span style=""font-family:Arial;color:#333333;"">岗位职责：</span></div><p><span style=""font-family:Arial;color:#333333;"">1.利用机器学习技术，打造公司内部智能开发工具（如代码生成、代码提示）、分析工具，提高研发人员开发效率，提升开发体验；提升BI分析效果。</span></p><p><br></p><div><span style=""font-family:Arial;color:#333333;"">岗位要求</span></div><div><span style=""font-family:Arial;color:#333333;"">1. 熟悉<span style=""color:#333333;font-family:Arial;font-size:14px;"">Python/</span>Java/Scala/Go/Node.js等一种或多种语言</span></div><div><span style=""font-family:Arial;color:#333333;"">2. 熟悉常见的数据挖掘和机器学习算法</span></div><div><span style=""font-family:Arial;color:#333333;"">3. 在机器学习方面有实际项目经验</span></div><div><span style=""font-family:Arial;color:#333333;"">4. 熟悉Docker/Mesos/Kubernetes等容器相关技术</span></div><div><span style=""color:#333333;font-family:Arial;"">5. 学习能力强，有责任心，乐于挑战，善于沟通</span></div>",0,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,260,pages/zwDetail/zwDetail?uuid=inn_z2spzbny4gpp,200,4,0,2018-10-20 15:26:24,中文,500-2000人,https://www.shixiseng.com/intern/inn_z2spzbny4gpp
北京,表现优秀可转正；公司核心项目有挑战性；团队氛围好；待遇好,可转正,北京,滴滴出行,0,com_sppzggg6k3bg,4,本科,0,2018-11-03,1,数据科学实习生,互联网,【职位描述】：<br>使用统计分析、机器学习等方法，提升BI分析系统的智能化决策能力。<br>&nbsp;<br>【任职资格】：<br>1.计算机科学、应用数学、统计学、经济学、物理学、天文学、商业分析、信息系统、数据科学或相关本科或以上学历<br>2.良好的团队合作精神与沟通能力<br>3.具备较强的工程能力，熟悉常见的机器学习模型，如LR、贝叶斯网络、GBDT、深度学习等<br><p>4.熟悉Python/R/Java/Scala 一门或多门编程语言</p><p><span>5.熟练使用Pandas、Sklearn、Tensorflow、Pytorch等软件包</span></p><p><br></p><p><br></p><br>&nbsp;<br>,0,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,260,pages/zwDetail/zwDetail?uuid=inn_z5jd9dimpvoq,200,6,0,2018-10-20 15:26:19,中文,500-2000人,https://www.shixiseng.com/intern/inn_z5jd9dimpvoq
杭州市西湖区紫霞街176号互联网创新创业园2号楼8F,阿里系创业  云计算生态  大数据 双休,可转正,杭州,袋鼠云,0,com_fukhzb5dsxrg,5,本科,0,2018-12-31,1,数据挖掘实习生,计算机/互联网,"<span style=""font-size:16px;"">岗位职责：</span><span style=""font-size:16px;"">&nbsp;&nbsp;</span><br> <span style=""font-size:16px;"">1. 深入行业应用场景，根据场景实现机器学习算法服务</span><br> <span style=""font-size:16px;"">2. 负责新零售，智能交通，智能制造，智慧人社相关领域技术研究；</span><br> <span style=""font-size:16px;"">3. 收集并提炼行业客户需求，探索算法服务的产品化和平台化；</span><br> <span style=""font-size:16px;"">4. 对现有算法基于特定场景进行优化和改进，负责相关算法的产品化落地。</span><br> <br> <span style=""font-size:16px;"">岗位要求：</span><br> <span style=""font-size:16px;"">1. 2019届计算机，数学，物理等相关专业应届毕业生，本科及以上学历，有机器学习算法和数据挖掘项目经验；</span><br> <span style=""font-size:16px;"">2. 熟悉机器学习常用算法的实现和应用，对常见的回归，分类算法有了解；</span><br> <span style=""font-size:16px;"">3. 熟练使用Python、C/C++，R中的一种或多种语言；熟悉分布式存储和计算系统，如Hadoop/Spark等分布式计算平台；</span><br> <span style=""font-size:16px;"">4. 具有良好的执行力、严谨的逻辑思维和自我驱动能力；优秀的团队合作意识和推动协作达成的责任心并对大数据周边的业界动态、应用、算法有热情</span>",0,https://sxsimg.xiaoyuanzhao.com/9F/92/9F3506D5BD6345271052AD1E81FE8B92.jpg,200,pages/zwDetail/zwDetail?uuid=inn_cxrnyo8fpbqp,150,9,0,2018-10-20 14:48:32,中文,50-150人,https://www.shixiseng.com/intern/inn_cxrnyo8fpbqp
远程工作,医疗领域全国一流的数据科学公司，可以获得数据科学一线研发经验,面议,全国,脉络大数据-MeDomino,0,com_9hjets1s9zz2,3,本科,0,2018-11-24,1,数据质量工程师,"计算机/互联网,医药","<strong>该职位接受寒假实习。</strong><br><br><p>
	1. &nbsp; 开发数据监测工具
</p>
<p>
	2 . &nbsp;参与数据挖掘全流程的工作
</p>
<p>
	<br>
</p>
<p>
	要求
</p>
<p>
	1. &nbsp; 熟练使用互联网
</p>
<p>
	2. &nbsp; 充足的实习时间
</p>
<p>
	3. &nbsp; 一定的英文读写能力
</p>
<p>
	4. &nbsp; 有 python ， R &nbsp;coding 经验优先
</p>
<p>
	5 . &nbsp;有 医疗专业背景优先
</p>
<p>
	<br>
</p>
<p>
	&nbsp;
</p>
<p>
	<br>
</p>
<p>
	<br>
</p>
<p>
	<br>
</p>",0,https://sxsimg.xiaoyuanzhao.com/4B/31/4BB261FB3C44058BD42AE103E1206931.png,100,pages/zwDetail/zwDetail?uuid=inn_jqp0hkixip6z,50,13,0,2018-10-20 14:39:10,中文,少于15人,https://www.shixiseng.com/intern/inn_jqp0hkixip6z
北京市海淀区苏州街3号大恒科技大厦南座16层,互联网金融，三方协议，北京工作居住证，Mac pro,可转正,北京,真融宝,0,com_siov6m2fwdke,4,本科,0,2018-10-31,1,数据工程师 （实习/校招）,互联网金融,"<p>
	岗位职责<span>:</span>
</p>
<p>
	1.&nbsp; 参与理财产品与应用的数据研发；<span></span>
</p>
<p>
	2.&nbsp; 负责数据基础架构的升级和优化，不断提升系统的稳定性和效率；<span></span>
</p>
<p>
	3.&nbsp; 参与数据仓库<span>ETL</span>流程的优化，解决<span>ETL</span>相关技术问题；<span></span>
</p>
<p>
	任职资格：<span></span>
</p>
<p>
	1.&nbsp; 计算机相关专业本科及以上学历；<span></span>
</p>
<p>
	2.&nbsp; 具备扎实的专业基础，有较强的动手能力和学习能力，熟悉一门数据处理语言，如<span>JAVA</span>、<span>Python</span>、<span>PHP</span>等，熟悉<span>unix</span>或者<span>linux</span>操作 ；<span></span>
</p>
<p>
	3.&nbsp; 熟练使用<span>MYSQL</span>及<span>SQL</span>语言<span>, </span>有参与数据处理、分析、挖掘等相关项目优先；<span></span>
</p>
<p>
	4.&nbsp; 具备良好的沟通能力和团队合作能力，主动积极、乐于面对挑战。<span></span>
</p>",0,https://sxsimg.xiaoyuanzhao.com/47/3B/471CABD57CCFA531A4665FC04B51DC3B.png,250,pages/zwDetail/zwDetail?uuid=inn_sslrkkj3chaa,200,4,0,2018-10-19 18:32:21,中文,150-500人,https://www.shixiseng.com/intern/inn_sslrkkj3chaa
徐汇区宛平南路保利时光里A座,实习生培训、下午茶、健身房、图书室、露台沙发、老板nice,面议,上海,壹账通,0,com_pobdzlrxvdpb,4,本科,0,2018-11-18,1,智能风控实习生,计算机/互联网,"<p>职位描述<span></span> </p><p>1.
收集客户需求，规划信贷风险解决方案，并设计风险模型<span></span> </p><p>2.
评分卡模型的数据清洗与整理，模型建立和优化<span></span> </p><p>3.
理解业务方向和战略，为业务战略发展提供数据支持，协助开发新的数据产品<span></span> </p><p><br></p><p>要求<span></span> </p><p>1.
本科或者研究生在读，金融学，统计学，计算机等相关专业，一周至少<span>4</span>天，持续6个月以上<span></span> </p><p>2.
有银行或者互联网金融机构等实习经验者优先考虑<span></span> </p><p>3.
掌握使用<span>SQL.HIVE</span>进行数据处理和分析，熟悉<span>Python</span>数据处理和建模工具<span></span> </p><p>4. 活泼开朗，沟通能力良好，能跨团队的进行业务合作<span></span> </p><p><br></p><p><br></p>",0,https://sxsimg.xiaoyuanzhao.com/AC/52/AC96636F8615F8D5F6F6B93A5D0F5E52.jpg,200,pages/zwDetail/zwDetail?uuid=inn_udbipufrr5kz,150,6,0,2018-10-19 18:20:23,中文,2000人以上,https://www.shixiseng.com/intern/inn_udbipufrr5kz
徐家汇,中国最大餐饮上市公司的数据分析团队,面议,上海,百胜中国,0,com_eat7w48qdsgd,4,本科,0,2018-12-31,1,数据分析实习生,餐饮,"<p>
	<br>
</p>
<p>
	<span style=""font-size:14px;""> </span>
</p>
<p>
	公司简介：<span></span> 
</p>
<p>
	<span></span> 
</p>
<p>
	百胜中国控股有限公司是中国领先的餐饮公司，致力于让生活更有滋味。自从<span>1987</span>年第一家餐厅开业以来，百胜中国今天在大陆的足迹遍布所有省市自治区，在<span>1,200</span>多座城镇经营着八千余家餐厅。<span></span> 
</p>
<p>
	百胜中国从<span>Yum! Brands</span>（纽约证券交易所代码：<span>YUM</span>）分拆出来之后，于<span>2016</span>年<span>11</span>月<span>1</span>日独立在纽约证券交易所上市，股票代码为<span>YUMC</span>。百胜中国在中国市场拥有肯德基、必胜客和塔可贝尔三个品牌的独家运营和授权经营权，并完全拥有东方既白和小肥羊连锁餐厅。
</p>
<p>
	<br>
</p>
<p>
	<span style=""font-size:14px;""></span><span style=""font-size:14px;""></span><span style=""font-size:14px;""></span><span style=""font-size:14px;""></span><span style=""font-size:14px;""></span><span style=""font-size:14px;""></span><span style=""font-size:14px;""></span><span style=""font-size:14px;""></span><span style=""font-size:14px;""></span><span style=""font-size:14px;""></span> 
</p>
<p>
	<br>
</p>
<p>
	<span></span> 
</p>
<p>
	<span style=""font-size:14px;""><span>岗位职能：</span></span><span></span> 
</p>
<li>
	<span style=""font-size:14px;"">Determine, implement, and evaluate business metrics to meet ongoing organizational or customer information needs.</span> 
</li>
<li>
	<span style=""font-size:14px;"">Analyze and report on complex data to meet customer needs.</span> 
</li>
<li>
	<span style=""font-size:14px;"">Research customer database to come up with precise marketing targets. Support various marketing campaigns from end-to-end, from campaign design, population selection, campaign execution monitoring and post-campaign analysis.</span> 
</li>
<li>
	<span style=""font-size:14px;"">Communicate complex data in comprehensible ways.</span> 
</li>
<li>
	<span style=""font-size:14px;"">Identify user needs from user requests and develop strategies by which to meet those needs.</span> 
</li>
<li>
	<span style=""font-size:14px;"">Critically evaluate information from multiple sources and clearly indicate quality of final analysis.</span> 
</li>
<p>
	<span><span><br>
</span></span> 
</p>
<p>
	<span style=""font-size:14px;""><span>专业要求</span></span><span style=""font-size:14px;""><span>:</span></span> 
</p>
<li>
	<span style=""font-size:14px;""><span>985/211 schools&nbsp;</span>required.<br>
</span> 
</li>
<li>
	<span style=""font-size:14px;"">Graduate or undergraduate students majoring in&nbsp;Computer Science, Statistics, Econometrics, Mathematics or related fields.</span> 
</li>
<p>
	<span><span><br>
</span></span> 
</p>
<p>
	<span style=""font-size:14px;""><span>岗位要求：</span></span><span></span> 
</p>
<li>
	<span style=""font-size:14px;"">The intern duration must be&nbsp;at least 6 months long. Applicants must be able to work at&nbsp;least&nbsp;4 days a week. 5 days preferred</span> 
</li>
<li>
	<span style=""font-size:14px;"">Familiarity with&nbsp;relational databases and SQL. Comfort manipulating and analyzing&nbsp;complex, high-volume, high-dimensionality data&nbsp;from varying sources. Experience working with&nbsp;distributed computing tools&nbsp;a plus (Map/Reduce, Hadoop, Hive, etc.)</span> 
</li>
<li>
	<span style=""font-size:14px;"">A strong passion for empirical research and for answering hard questions with data. Familiar with at least one analysis tool such as&nbsp;R, Python.</span> 
</li>
<li>
	<span style=""font-size:14px;"">Fast learner, able to come up to speed quickly.“</span><span style=""font-size:14px;"">Can do</span><span style=""font-size:14px;"">”</span><span style=""font-size:14px;"">attitude with bias for action; can think through subsequent steps/tasks without constant oversight</span> 
</li>
<li>
	<span style=""font-size:14px;"">Fluency in&nbsp;English in reading and writing is a plus.</span> 
</li>
<p>
	<br>
</p>",0,https://sxsimg.xiaoyuanzhao.com/BC/28/BC9E52C4D3CF4C7266746E2156A1B028.png,250,pages/zwDetail/zwDetail?uuid=inn_9jn9bzls5bjy,200,6,0,2018-10-19 17:11:58,中文,2000人以上,https://www.shixiseng.com/intern/inn_9jn9bzls5bjy
南京市栖霞区兴智路6-3号兴智科技园C栋16层南侧,课本外的知识，校园外的视野，不俗的薪资待遇，活跃的气氛。,可转正,南京,浦和数据,0,com_jj9xjqjuwcj7,4,本科,0,2018-10-24,1,数据分析工程师,计算机/互联网,"<p>
	职位描述：
</p>
<p>
	1. 调研行业客户的业务逻辑、信息系统与数据架构；
</p>
<p>
	2. 分解客户问题，对具体问题设计数据处理、数据统计、机器学习的概要算法方案并优化；
</p>
<p>
	3. 与由数据开发工程师、数据分析师组成的团队协作，最终实现能够解决客户问题的认知智能解决方案。
</p>
<p>
	<br>
</p>
<p>
	<br>
</p>
<p>
	任职要求：
</p>
<p>
	1. 统计学、数学、计算机或相关专业优先；
</p>
<p>
	2. 对数据挖掘和机器学习等算法有思想理解或实战经验者优先；
</p>
<p>
	3. 熟悉任意 Python/R/MATLAB/SPSS/SAS 等数据分析工具，熟悉SQL者优先；
</p>
<p>
	4. 关注大数据、机器学习、人工智能前沿领域，保持好奇心和求知热情。
</p>
<p>
	5. 具有较强的思维能力，以及良好的沟通与表达能力。
</p>
<p>
	<br>
</p>
<p>
	<br>
</p>
<p>
	<span>实习生要求：</span>
</p>
<p>
	<span>每周周内出勤在4天及以上；</span>
</p>
<p>
	<span>连续实习时间不少于6个月。</span>
</p>",0,https://sxsimg.xiaoyuanzhao.com/86/E8/86DBEE672F10C03551926FAEE0294AE8.png,200,pages/zwDetail/zwDetail?uuid=inn_p5jow7ox4ybz,150,6,0,2018-10-19 17:01:04,中文,15-50人,https://www.shixiseng.com/intern/inn_p5jow7ox4ybz
上海市浦东新区新金桥路1599号A1栋东方万国企业中心,工作前景好 团队氛围佳 福利待遇好,面议,上海,快钱公司,0,com_rjxbwrip0my3,3,硕士,0,2018-11-02,1,数据分析实习生,"计算机/互联网,金融","<p>
	<span>岗位职责：</span>
</p>
<p>
	<span>1</span>、快钱业务的数据分析；<span></span>
</p>
<p>
	<span>2</span>、业务团队梳理业务主题，分析主题和报表；
</p>
<p>
	<span>3</span>、优化反洗钱监测模型。
</p>
<p>
	<br>
</p>
<p>
	岗位要求：
</p>
<p>
	<span>1</span>、统计专业研究生且本科也是统计专业，2020年毕业；<span></span>
</p>
<p>
	<span>2</span>、主动积极、认真仔细、有耐心，具有较强责任心、良好团队精神和服务意识；<span></span>
</p>
<p>
	<span>3</span>、熟悉<span>SQL</span>语句；<span></span>
</p>
<p>
	<span>4</span>、熟悉<span>python</span>挖掘工具，熟悉决策树、关联算法、逻辑回归、聚类、分类、朴素贝叶斯、<span>SVM</span>、随机森林等算法；<span></span>
</p>
<p>
	<span>5</span>、至少有两个建模经验；<span></span>
</p>
<p>
	<span>6</span>、具备良好的学习能力、沟通能力、适应能力强；
</p>
<p>
	<span>7</span>、能保证每周一、周二、周三的在岗实习时间，或能保证每周三、周四、周五的在岗实习时间。<span></span>
</p>
<p>
	研究生薪资：150/天
</p>",0,https://sxsimg.xiaoyuanzhao.com/6A/1B/6ADFAB478424EDF0C33000FB8655901B.jpg,150,pages/zwDetail/zwDetail?uuid=inn_enh9njzv6vfw,100,6,0,2018-10-19 16:37:17,中文,500-2000人,https://www.shixiseng.com/intern/inn_enh9njzv6vfw
北京海淀区苏州街3号大恒科技大厦南座16层,北京居住证明，餐补&交通补贴，和谐工作氛围,可转正,北京,真融宝,0,com_siov6m2fwdke,5,本科,0,2018-10-31,1,数据分析,互联网金融,"<p>
	1.工作职责：负责公司业务方向的数据抓取、清洗及存储
</p>
<p>
	&nbsp;2.工作要求：①、熟练应用python语言
</p>
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ②、熟练掌握xpath、正则、beautifulSoup等常用数据解析方式<br>
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ③、熟悉mysql、redis、http/https、linux等计算机常备知识<br>
3.个人要求：①、对数据挖掘有浓厚的兴趣<br>
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ②、工作态度认真负责<br>
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ③、有python、mysql工作经验者优先<br>",0,https://sxsimg.xiaoyuanzhao.com/47/3B/471CABD57CCFA531A4665FC04B51DC3B.png,300,pages/zwDetail/zwDetail?uuid=inn_9phd4bmxd8ph,200,3,0,2018-10-19 16:36:53,中文,150-500人,https://www.shixiseng.com/intern/inn_9phd4bmxd8ph
