ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,北京,滴滴出行,4,False,1,False,260,200,算法工程师,10-20,intern,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,inn_z2spzbny4gpp
f,北京,滴滴出行,4,False,1,False,260,200,数据科学实习生,10-20,intern,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,inn_z5jd9dimpvoq
f,杭州,袋鼠云,5,False,1,False,200,150,数据挖掘实习生,10-20,intern,https://sxsimg.xiaoyuanzhao.com/9F/92/9F3506D5BD6345271052AD1E81FE8B92.jpg,inn_cxrnyo8fpbqp
f,全国,脉络大数据-MeDomino,3,False,1,False,100,50,数据质量工程师,10-20,intern,https://sxsimg.xiaoyuanzhao.com/4B/31/4BB261FB3C44058BD42AE103E1206931.png,inn_jqp0hkixip6z
f,北京,真融宝,4,False,1,False,250,200,数据工程师 （实习/校招）,10-19,intern,https://sxsimg.xiaoyuanzhao.com/47/3B/471CABD57CCFA531A4665FC04B51DC3B.png,inn_sslrkkj3chaa
f,上海,壹账通,4,False,1,False,200,150,智能风控实习生,10-19,intern,https://sxsimg.xiaoyuanzhao.com/AC/52/AC96636F8615F8D5F6F6B93A5D0F5E52.jpg,inn_udbipufrr5kz
f,上海,百胜中国,4,False,1,False,250,200,数据分析实习生,10-19,intern,https://sxsimg.xiaoyuanzhao.com/BC/28/BC9E52C4D3CF4C7266746E2156A1B028.png,inn_9jn9bzls5bjy
f,南京,浦和数据,4,False,1,False,200,150,数据分析工程师,10-19,intern,https://sxsimg.xiaoyuanzhao.com/86/E8/86DBEE672F10C03551926FAEE0294AE8.png,inn_p5jow7ox4ybz
f,上海,快钱公司,3,False,1,False,150,100,数据分析实习生,10-19,intern,https://sxsimg.xiaoyuanzhao.com/6A/1B/6ADFAB478424EDF0C33000FB8655901B.jpg,inn_enh9njzv6vfw
f,北京,真融宝,5,False,1,False,300,200,数据分析,10-19,intern,https://sxsimg.xiaoyuanzhao.com/47/3B/471CABD57CCFA531A4665FC04B51DC3B.png,inn_9phd4bmxd8ph
f,北京,去哪儿网,5,False,1,False,200,150,机器学习工程师,10-19,intern,https://sxsimg.xiaoyuanzhao.com/4B/50/4BF8DAFEDA7751CDE420E9A09E23CE50.png,inn_ffhwxwr1cqk6
f,成都,御雪科技,5,False,0,False,150,100,数据分析员,10-19,intern,https://sxsimg.xiaoyuanzhao.com/A2/9C/A21C586B13805DE04E6656313EB2899C.png,inn_ed24kisibyxl
